TransactionID,CustomerID,Spend,CompetitorPrice,LGPrice,Age,Income,Region,Preference
1,3291,196.66,232.25,247.67,41,67289,East,Promotion
2,4754,262.49,182.17,169.42,46,29780,West,Promotion
3,1834,279.16,204.85,207.49,63,61493,South,Price
4,454,152.97,229.09,150.86,43,54697,East,Promotion
5,741,144.24,159.62,162.89,34,48327,East,Promotion
6,2381,88.39,166.74,186.94,59,49744,East,Brand
7,2358,164.57,245.66,205.22,20,29884,West,Brand
8,1444,180.63,168.15,207.9,40,53652,South,Brand
9,3681,118.44,239.72,143.55,38,49634,West,Promotion
10,1749,158.08,201.4,223.08,21,69014,West,Price
11,2402,236.98,160.85,239.1,47,50691,West,Price
12,4920,213.18,197.7,158.89,39,62666,South,Brand
13,3172,162.0,206.05,214.6,50,55711,South,Promotion
14,4241,261.97,165.45,250.77,52,22422,North,Price
15,2007,132.64,226.47,211.93,22,56144,South,Brand
16,1787,225.02,161.66,157.13,41,41160,South,Brand
17,1410,188.39,160.31,151.95,26,44409,South,Price
18,1763,204.77,207.33,164.3,37,51611,North,Price
19,910,215.03,233.38,176.31,37,61019,West,Promotion
20,761,259.85,211.47,181.96,21,43822,North,Promotion
21,3241,235.47,154.64,201.71,31,40983,South,Price
22,2690,254.68,193.73,218.8,51,62047,South,Price
23,531,149.11,222.2,159.83,62,65111,South,Price
24,1360,185.58,176.36,206.05,38,40506,West,Promotion
25,3819,152.69,219.65,217.24,46,66795,North,Brand
26,2028,134.65,189.4,187.61,22,57101,North,Price
27,2561,245.18,246.6,197.53,44,66381,North,Price
28,2178,102.09,198.41,229.48,26,57130,West,Price
29,1538,170.8,234.97,238.04,47,60480,East,Brand
30,1274,172.56,184.85,189.64,63,34255,West,Brand
31,2782,189.39,223.99,172.35,27,56425,South,Price
32,947,142.81,182.64,203.18,41,56671,North,Price
33,1299,163.14,178.47,199.53,28,29497,West,Price
34,2512,293.26,167.55,211.39,19,42394,South,Brand
35,2189,186.92,214.05,183.07,29,34036,East,Brand
